sid,underlying_sid,root,symbol,name,mktdata_type,asset_class,instrument_type,mult,tick_size,start_date,end_date,auto_close_date,exchange_name,calendar_name,ccy,ccy_pair,base_ccy,quote_ccy,expiry_date,notice_date
27,355,RPOWER,RPOWER-I,RPOWER FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
28,99,COALINDIA,COALINDIA-I,COALINDIA FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
29,56,STAR,STAR-I,STAR FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
30,129,BATAINDIA,BATAINDIA-I,BATAINDIA FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
31,-1,NONE,GODREJCP,GODREJCP,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
32,-1,NONE,TITAN,TITAN,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
33,334,BANKINDIA,BANKINDIA-I,BANKINDIA FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
34,-1,NONE,EICHERMOT,EICHERMOT,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
35,-1,NONE,CIPLA,CIPLA,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
36,-1,NONE,ADANIENT,ADANIENT,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
37,-1,NONE,BEML,BEML,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
38,285,GRANULES,GRANULES-I,GRANULES FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
39,287,SUNPHARMA,SUNPHARMA-I,SUNPHARMA FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
40,168,CAIRN,CAIRN-I,CAIRN FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.49E+18,1.49E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
41,154,M&MFIN,M&MFIN-I,M&MFIN FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
42,261,BHARATFORG,BHARATFORG-I,BHARATFORG FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
43,148,TATAELXSI,TATAELXSI-I,TATAELXSI FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
